Neighborhood,ID,Total Residences,Total Households,One-person Households,Population Density,Lat,Lon
Burgwallen-Oude Zijde,WK036300,4305,3090,2180,12323,52.371946,4.896103
Burgwallen-Nieuwe Zijde,WK036301,3930,2835,2000,6881,52.373706,4.889922
Grachtengordel-West,WK036302,6385,4110,2570,14261,52.370837,4.885478
Grachtengordel-Zuid,WK036303,5350,3410,2140,10303,52.364422,4.894243
Nieuwmarkt,WK036304,9765,6485,4285,13741,52.37216,4.900096
Haarlemmerbuurt,WK036305,9305,5670,3415,17007,52.382441,4.887193
Jordaan,WK036306,19435,12985,8625,23289,52.3745,4.879491
De Weteringschans,WK036307,7235,4670,2990,13012,52.359301,4.897665
Weesperbuurt,WK036308,7860,4915,3245,10125,52.364574,4.906646
Oostelijke Eilanden,WK036309,13210,7965,4795,13388,52.37167,4.92172
Westelijk Havengebied,WK036310,195,145,120,10,52.404991,4.807628
Bedrijventerrein Sloterdijk,WK036311,525,475,440,73,52.39373,4.835725
Houthavens,WK036312,1115,655,365,3411,52.40135,4.874916
Spaarndammer- en Zeeheldenbuurt,WK036313,10780,6270,3680,7890,52.389648,4.8722401
Staatsliedenbuurt,WK036314,13315,8105,4860,28139,52.380287,4.870951
Centrale Markt,WK036315,2420,1240,610,4660,52.378143,4.8662284
Frederik Hendrikbuurt,WK036316,8435,5160,3165,23520,52.376956,4.874085
Da Costabuurt,WK036317,4705,2925,1745,21646,52.370039,4.871892
Kinkerbuurt,WK036318,6590,3950,2460,26135,52.369167,4.866649
Van Lennepbuurt,WK036319,6990,4535,3005,28005,52.365144,4.867845
Helmersbuurt,WK036320,7410,4580,2835,22124,52.36336,4.871285
Overtoomse Sluis,WK036321,7890,4840,2910,26482,52.359468,4.860689
Vondelbuurt,WK036322,1860,1045,625,8592,52.361543,4.875501
Zuidas,WK036323,3700,2630,1905,1747,52.33778,4.873445
Oude Pijp,WK036324,14820,9875,6510,23353,52.355216,4.894574
Nieuwe Pijp,WK036325,12325,7905,5015,23998,52.351856,4.897728
Zuid Pijp,WK036326,8200,4905,2875,23247,52.354372,4.896399
Weesperzijde,WK036327,5535,3470,2180,14984,52.3579,4.9063
Oosterparkbuurt,WK036328,10890,6460,3835,15076,52.358915,4.913268
Dapperbuurt,WK036329,10065,5805,3465,16956,52.361806,4.927433
Transvaalbuurt,WK036330,9340,5125,2865,25306,52.353864,4.920172
Indische Buurt West,WK036331,12640,7060,3930,26985,52.361625,4.938813
Indische Buurt Oost,WK036332,10215,5350,2890,10876,52.360097,4.945292
Oostelijk Havengebied,WK036333,18545,9315,4045,12011,52.372443,4.938786
Zeeburgereiland,WK036334,3135,2210,1625,1267,52.3723,4.9653
IJburg West,WK036335,14820,5770,1760,13204,52.3593,4.99079
Sloterdijk,WK036336,505,285,155,421,52.388017,4.852413
Landlust,WK036337,18560,10210,5620,18164,52.383395,4.85239
Erasmuspark,WK036338,5845,3380,1830,16128,52.3742,4.8503
De Kolenkit,WK036339,10075,5140,2895,13983,52.380097,4.841366
Van Galenbuurt,WK036341,7135,3395,2020,24754,52.371745,4.851737
Hoofdweg,WK036342,10415,6055,3495,26086,52.3588,4.8531
Westindische Buurt,WK036343,6945,4080,2245,21808,52.361196,4.853406
Hoofddorppleinbuurt,WK036344,11835,7140,4060,13948,52.348651,4.84773
Schinkelbuurt,WK036345,3820,2445,1520,13187,52.352606,4.854591
Willemspark,WK036346,5500,2625,1160,8617,52.353886,4.861979
Museumkwartier,WK036347,12625,6815,3565,9613,52.355761,4.876835
Stadionbuurt,WK036348,11790,6960,3925,12319,52.346531,4.862066
Apollobuurt,WK036349,8640,4110,1835,9775,52.348073,4.875559
IJburg Zuid,WK036351,8095,3090,965,12215,52.349131,5.00668
Scheldebuurt,WK036352,15115,8535,4630,15283,52.343819,4.893165
IJselbuurt,WK036353,5385,3360,2045,21012,52.348184,4.904787
Rijnbuurt,WK036354,9160,5830,3580,9494,52.341857,4.907728
Frankendael,WK036355,10800,6115,3670,6828,52.3504,4.927
Middenmeer,WK036356,15450,8120,4130,5453,52.3505,4.9266
Betondorp,WK036357,3250,1985,1185,2989,52.341974,4.942329
Omval,WK036358,4600,3155,2435,1616,52.3458,4.9144
Volewijck,WK036360,9755,5125,2610,8166,52.393131,4.916459
IJplein,WK036361,8250,4390,2355,6962,52.382,4.9085
Tuindorp Nieuwendam,WK036362,3535,1850,835,8229,52.3915,4.9447
Tuindorp Buiksloot,WK036363,1910,940,400,11330,52.392984,4.927082
Nieuwendammerdijk,WK036364,1685,645,155,4714,52.3909,4.925
Tuindorp Oostzaan,WK036365,11525,5425,2290,7251,52.4117,4.8919
Oostzanerwerf,WK036366,8885,4030,1535,3507,52.4213,4.8788
Kadoelen,WK036367,3115,1305,360,2310,52.4149,52.4149
